,precision,recall,f1-score,support,Fold,Classif.
Dropout,0.82,0.63,0.71,285.0,Fold_1,DecisionTree
Enrolled,0.4,0.48,0.44,159.0,Fold_1,DecisionTree
Graduate,0.78,0.84,0.81,441.0,Fold_1,DecisionTree
accuracy,0.71,0.71,0.71,0.71,Fold_1,DecisionTree
macro avg,0.67,0.65,0.65,885.0,Fold_1,DecisionTree
weighted avg,0.72,0.71,0.71,885.0,Fold_1,DecisionTree
Dropout,0.75,0.62,0.68,285.0,Fold_1,NaiveBayes
Enrolled,0.31,0.55,0.4,159.0,Fold_1,NaiveBayes
Graduate,0.78,0.65,0.71,441.0,Fold_1,NaiveBayes
accuracy,0.62,0.62,0.62,0.62,Fold_1,NaiveBayes
macro avg,0.61,0.61,0.6,885.0,Fold_1,NaiveBayes
weighted avg,0.69,0.62,0.64,885.0,Fold_1,NaiveBayes
Dropout,0.7,0.53,0.61,285.0,Fold_1,KNN
Enrolled,0.31,0.48,0.38,159.0,Fold_1,KNN
Graduate,0.73,0.7,0.72,441.0,Fold_1,KNN
accuracy,0.61,0.61,0.61,0.61,Fold_1,KNN
macro avg,0.58,0.57,0.57,885.0,Fold_1,KNN
weighted avg,0.65,0.61,0.62,885.0,Fold_1,KNN
Dropout,0.85,0.71,0.77,285.0,Fold_1,LogisticRegressio
Enrolled,0.43,0.5,0.46,159.0,Fold_1,LogisticRegressio
Graduate,0.82,0.85,0.83,441.0,Fold_1,LogisticRegressio
accuracy,0.74,0.74,0.74,0.74,Fold_1,LogisticRegressio
macro avg,0.7,0.69,0.69,885.0,Fold_1,LogisticRegressio
weighted avg,0.76,0.74,0.75,885.0,Fold_1,LogisticRegressio
Dropout,0.86,0.74,0.8,285.0,Fold_1,RandomForest
Enrolled,0.55,0.45,0.49,159.0,Fold_1,RandomForest
Graduate,0.8,0.92,0.85,441.0,Fold_1,RandomForest
accuracy,0.78,0.78,0.78,0.78,Fold_1,RandomForest
macro avg,0.74,0.7,0.71,885.0,Fold_1,RandomForest
weighted avg,0.77,0.78,0.77,885.0,Fold_1,RandomForest
Dropout,0.81,0.68,0.74,285.0,Fold_1,SVM
Enrolled,0.41,0.5,0.45,159.0,Fold_1,SVM
Graduate,0.81,0.83,0.82,441.0,Fold_1,SVM
accuracy,0.72,0.72,0.72,0.72,Fold_1,SVM
macro avg,0.67,0.67,0.67,885.0,Fold_1,SVM
weighted avg,0.74,0.72,0.73,885.0,Fold_1,SVM
Dropout,0.86,0.65,0.74,284.0,Fold_2,DecisionTree
Enrolled,0.41,0.65,0.5,159.0,Fold_2,DecisionTree
Graduate,0.83,0.78,0.8,442.0,Fold_2,DecisionTree
accuracy,0.72,0.72,0.72,0.72,Fold_2,DecisionTree
macro avg,0.7,0.7,0.68,885.0,Fold_2,DecisionTree
weighted avg,0.76,0.72,0.73,885.0,Fold_2,DecisionTree
Dropout,0.78,0.65,0.71,284.0,Fold_2,NaiveBayes
Enrolled,0.33,0.62,0.43,159.0,Fold_2,NaiveBayes
Graduate,0.81,0.64,0.71,442.0,Fold_2,NaiveBayes
accuracy,0.64,0.64,0.64,0.64,Fold_2,NaiveBayes
macro avg,0.64,0.64,0.62,885.0,Fold_2,NaiveBayes
weighted avg,0.71,0.64,0.66,885.0,Fold_2,NaiveBayes
Dropout,0.71,0.54,0.61,284.0,Fold_2,KNN
Enrolled,0.33,0.57,0.42,159.0,Fold_2,KNN
Graduate,0.75,0.67,0.71,442.0,Fold_2,KNN
accuracy,0.61,0.61,0.61,0.61,Fold_2,KNN
macro avg,0.6,0.59,0.58,885.0,Fold_2,KNN
weighted avg,0.66,0.61,0.63,885.0,Fold_2,KNN
Dropout,0.85,0.69,0.76,284.0,Fold_2,LogisticRegressio
Enrolled,0.45,0.58,0.51,159.0,Fold_2,LogisticRegressio
Graduate,0.84,0.85,0.85,442.0,Fold_2,LogisticRegressio
accuracy,0.75,0.75,0.75,0.75,Fold_2,LogisticRegressio
macro avg,0.71,0.71,0.7,885.0,Fold_2,LogisticRegressio
weighted avg,0.77,0.75,0.76,885.0,Fold_2,LogisticRegressio
Dropout,0.83,0.74,0.78,284.0,Fold_2,RandomForest
Enrolled,0.54,0.53,0.54,159.0,Fold_2,RandomForest
Graduate,0.83,0.89,0.86,442.0,Fold_2,RandomForest
accuracy,0.78,0.78,0.78,0.78,Fold_2,RandomForest
macro avg,0.73,0.72,0.73,885.0,Fold_2,RandomForest
weighted avg,0.78,0.78,0.78,885.0,Fold_2,RandomForest
Dropout,0.85,0.68,0.75,284.0,Fold_2,SVM
Enrolled,0.45,0.67,0.54,159.0,Fold_2,SVM
Graduate,0.86,0.83,0.85,442.0,Fold_2,SVM
accuracy,0.75,0.75,0.75,0.75,Fold_2,SVM
macro avg,0.72,0.73,0.71,885.0,Fold_2,SVM
weighted avg,0.79,0.75,0.76,885.0,Fold_2,SVM
Dropout,0.86,0.66,0.75,284.0,Fold_3,DecisionTree
Enrolled,0.43,0.57,0.49,159.0,Fold_3,DecisionTree
Graduate,0.82,0.85,0.84,442.0,Fold_3,DecisionTree
accuracy,0.74,0.74,0.74,0.74,Fold_3,DecisionTree
macro avg,0.7,0.69,0.69,885.0,Fold_3,DecisionTree
weighted avg,0.76,0.74,0.75,885.0,Fold_3,DecisionTree
Dropout,0.78,0.62,0.69,284.0,Fold_3,NaiveBayes
Enrolled,0.36,0.61,0.45,159.0,Fold_3,NaiveBayes
Graduate,0.8,0.7,0.75,442.0,Fold_3,NaiveBayes
accuracy,0.66,0.66,0.66,0.66,Fold_3,NaiveBayes
macro avg,0.65,0.65,0.63,885.0,Fold_3,NaiveBayes
weighted avg,0.72,0.66,0.68,885.0,Fold_3,NaiveBayes
Dropout,0.67,0.54,0.6,284.0,Fold_3,KNN
Enrolled,0.27,0.43,0.33,159.0,Fold_3,KNN
Graduate,0.75,0.68,0.71,442.0,Fold_3,KNN
accuracy,0.59,0.59,0.59,0.59,Fold_3,KNN
macro avg,0.56,0.55,0.55,885.0,Fold_3,KNN
weighted avg,0.64,0.59,0.61,885.0,Fold_3,KNN
Dropout,0.85,0.73,0.78,284.0,Fold_3,LogisticRegressio
Enrolled,0.45,0.55,0.5,159.0,Fold_3,LogisticRegressio
Graduate,0.85,0.86,0.86,442.0,Fold_3,LogisticRegressio
accuracy,0.76,0.76,0.76,0.76,Fold_3,LogisticRegressio
macro avg,0.72,0.72,0.71,885.0,Fold_3,LogisticRegressio
weighted avg,0.78,0.76,0.77,885.0,Fold_3,LogisticRegressio
Dropout,0.84,0.74,0.79,284.0,Fold_3,RandomForest
Enrolled,0.49,0.49,0.49,159.0,Fold_3,RandomForest
Graduate,0.83,0.9,0.86,442.0,Fold_3,RandomForest
accuracy,0.77,0.77,0.77,0.77,Fold_3,RandomForest
macro avg,0.72,0.71,0.71,885.0,Fold_3,RandomForest
weighted avg,0.77,0.77,0.77,885.0,Fold_3,RandomForest
Dropout,0.83,0.71,0.77,284.0,Fold_3,SVM
Enrolled,0.44,0.58,0.5,159.0,Fold_3,SVM
Graduate,0.86,0.83,0.85,442.0,Fold_3,SVM
accuracy,0.75,0.75,0.75,0.75,Fold_3,SVM
macro avg,0.71,0.71,0.7,885.0,Fold_3,SVM
weighted avg,0.77,0.75,0.76,885.0,Fold_3,SVM
Dropout,0.85,0.66,0.75,284.0,Fold_4,DecisionTree
Enrolled,0.41,0.42,0.41,159.0,Fold_4,DecisionTree
Graduate,0.78,0.89,0.83,442.0,Fold_4,DecisionTree
accuracy,0.73,0.73,0.73,0.73,Fold_4,DecisionTree
macro avg,0.68,0.66,0.66,885.0,Fold_4,DecisionTree
weighted avg,0.74,0.73,0.73,885.0,Fold_4,DecisionTree
Dropout,0.74,0.65,0.69,284.0,Fold_4,NaiveBayes
Enrolled,0.29,0.53,0.38,159.0,Fold_4,NaiveBayes
Graduate,0.78,0.61,0.69,442.0,Fold_4,NaiveBayes
accuracy,0.61,0.61,0.61,0.61,Fold_4,NaiveBayes
macro avg,0.6,0.6,0.58,885.0,Fold_4,NaiveBayes
weighted avg,0.68,0.61,0.63,885.0,Fold_4,NaiveBayes
Dropout,0.69,0.6,0.64,284.0,Fold_4,KNN
Enrolled,0.34,0.5,0.41,159.0,Fold_4,KNN
Graduate,0.76,0.69,0.72,442.0,Fold_4,KNN
accuracy,0.63,0.63,0.63,0.63,Fold_4,KNN
macro avg,0.6,0.6,0.59,885.0,Fold_4,KNN
weighted avg,0.66,0.63,0.64,885.0,Fold_4,KNN
Dropout,0.84,0.71,0.77,284.0,Fold_4,LogisticRegressio
Enrolled,0.45,0.57,0.5,159.0,Fold_4,LogisticRegressio
Graduate,0.83,0.83,0.83,442.0,Fold_4,LogisticRegressio
accuracy,0.75,0.75,0.75,0.75,Fold_4,LogisticRegressio
macro avg,0.71,0.7,0.7,885.0,Fold_4,LogisticRegressio
weighted avg,0.76,0.75,0.75,885.0,Fold_4,LogisticRegressio
Dropout,0.85,0.74,0.79,284.0,Fold_4,RandomForest
Enrolled,0.49,0.45,0.47,159.0,Fold_4,RandomForest
Graduate,0.79,0.88,0.84,442.0,Fold_4,RandomForest
accuracy,0.76,0.76,0.76,0.76,Fold_4,RandomForest
macro avg,0.71,0.69,0.7,885.0,Fold_4,RandomForest
weighted avg,0.76,0.76,0.76,885.0,Fold_4,RandomForest
Dropout,0.83,0.68,0.75,284.0,Fold_4,SVM
Enrolled,0.44,0.59,0.51,159.0,Fold_4,SVM
Graduate,0.82,0.82,0.82,442.0,Fold_4,SVM
accuracy,0.73,0.73,0.73,0.73,Fold_4,SVM
macro avg,0.7,0.7,0.69,885.0,Fold_4,SVM
weighted avg,0.76,0.73,0.74,885.0,Fold_4,SVM
Dropout,0.82,0.63,0.71,284.0,Fold_5,DecisionTree
Enrolled,0.38,0.44,0.41,158.0,Fold_5,DecisionTree
Graduate,0.78,0.86,0.82,442.0,Fold_5,DecisionTree
accuracy,0.71,0.71,0.71,0.71,Fold_5,DecisionTree
macro avg,0.66,0.64,0.65,884.0,Fold_5,DecisionTree
weighted avg,0.72,0.71,0.71,884.0,Fold_5,DecisionTree
Dropout,0.73,0.63,0.67,284.0,Fold_5,NaiveBayes
Enrolled,0.3,0.53,0.39,158.0,Fold_5,NaiveBayes
Graduate,0.79,0.64,0.71,442.0,Fold_5,NaiveBayes
accuracy,0.62,0.62,0.62,0.62,Fold_5,NaiveBayes
macro avg,0.61,0.6,0.59,884.0,Fold_5,NaiveBayes
weighted avg,0.68,0.62,0.64,884.0,Fold_5,NaiveBayes
Dropout,0.7,0.58,0.63,284.0,Fold_5,KNN
Enrolled,0.3,0.5,0.37,158.0,Fold_5,KNN
Graduate,0.75,0.66,0.7,442.0,Fold_5,KNN
accuracy,0.61,0.61,0.61,0.61,Fold_5,KNN
macro avg,0.59,0.58,0.57,884.0,Fold_5,KNN
weighted avg,0.66,0.61,0.62,884.0,Fold_5,KNN
Dropout,0.8,0.71,0.75,284.0,Fold_5,LogisticRegressio
Enrolled,0.41,0.51,0.45,158.0,Fold_5,LogisticRegressio
Graduate,0.83,0.83,0.83,442.0,Fold_5,LogisticRegressio
accuracy,0.73,0.73,0.73,0.73,Fold_5,LogisticRegressio
macro avg,0.68,0.68,0.68,884.0,Fold_5,LogisticRegressio
weighted avg,0.75,0.73,0.74,884.0,Fold_5,LogisticRegressio
Dropout,0.83,0.73,0.77,284.0,Fold_5,RandomForest
Enrolled,0.53,0.53,0.53,158.0,Fold_5,RandomForest
Graduate,0.83,0.89,0.86,442.0,Fold_5,RandomForest
accuracy,0.77,0.77,0.77,0.77,Fold_5,RandomForest
macro avg,0.73,0.72,0.72,884.0,Fold_5,RandomForest
weighted avg,0.77,0.77,0.77,884.0,Fold_5,RandomForest
Dropout,0.8,0.67,0.73,284.0,Fold_5,SVM
Enrolled,0.41,0.54,0.47,158.0,Fold_5,SVM
Graduate,0.82,0.8,0.81,442.0,Fold_5,SVM
accuracy,0.71,0.71,0.71,0.71,Fold_5,SVM
macro avg,0.68,0.67,0.67,884.0,Fold_5,SVM
weighted avg,0.74,0.71,0.72,884.0,Fold_5,SVM
